warnCity,City,State,Country,Latitude,Longitude
Moultrie,Moultrie,Georgia,United States,31.179998,-83.7887928
Nashville,Nashville,Georgia,United States,31.2074197,-83.2501548
Newnan,Newnan,Georgia,United States,33.3806716,-84.7996573
Newnane,Newnan,Georgia,United States,33.3806716,-84.7996573
Norcoss,Norcross,Georgia,United States,33.9412127,-84.2135309
Norcross,Norcross,Georgia,United States,33.9412127,-84.2135309
Oakwood,Oakwood,Georgia,United States,34.227602,-83.8843455
Ocilla,Ocilla,Georgia,United States,31.5943567,-83.2504328
Oklahama City,Atlanta,Georgia,United States,33.7490987,-84.3901849
Palmetto,Palmetto,Georgia,United States,33.5178907,-84.6696549
Patterson,Patterson,Georgia,United States,31.3874383,-82.1401193
Peachtree City,Peachtree City,Georgia,United States,33.3967829,-84.5957629
PEACHTREE CORNERS,Peachtree Corners,Georgia,United States,33.9701009,-84.2215869
Pelhan,Pelhan,Georgia,United States,,
Pendergrass,Pendergrass,Georgia,United States,34.1623292,-83.6779474
Perry,Perry,Georgia,United States,32.4586695,-83.7319658
Pine Mountain Vally,Pine Mountain Vally,Georgia,United States,,
Plano,Plano,Georgia,United States,,
Pooler,Pooler,Georgia,United States,32.1158983,-81.2495131
Portal,Portal,Georgia,United States,32.538222,-81.9323384
Preston,Preston,Georgia,United States,32.0659918,-84.537417
Quitman,Quitman,Georgia,United States,31.8769847,-85.0154412
Rabun Gap,Rabun Gap,Georgia,United States,34.9472664,-83.3978194
Richamond,Richmond,Georgia,United States,33.385076,-82.09207959
Richmond Hill,Richmond Hill,Georgia,United States,31.9382381,-81.3035515
Ringgold,Ringgold,Georgia,United States,34.91591,-85.1091173
Riverdale,Riverdale,Georgia,United States,33.5726113,-84.4132594
roberta,Roberta,Georgia,United States,32.7219973,-84.0130926
Robins Afb,Robins Air Force Base,Georgia,United States,32.6178258,-83.57707459
Rockmart,Rockmart,Georgia,United States,34.0026005,-85.0416133
Rome,Rome,Georgia,United States,34.257038,-85.1646726
Roopville,Roopville,Georgia,United States,33.4565021,-85.1307779
Rossville,Rossville,Georgia,United States,34.983376,-85.28603
Roswell,Roswell,Georgia,United States,34.02332,-84.360022
Royston,Royston,Georgia,United States,34.2870503,-83.1101483
Sandersville,Sandersville,Georgia,United States,32.9832812,-82.8116031
Sandy Springs,Sandy Springs,Georgia,United States,33.9242688,-84.3785379
Savannah,Savannah,Georgia,United States,32.0809263,-81.0911768
"Shannon, Ga",Shannon,Georgia,United States,34.3422495,-85.08579182
