City,ZCTA,CDRegion,MSA,County,Companies2007,Companies2008,Companies2009,Companies2010,Companies2011,Companies2012,Companies2013,Companies2014,Companies2015,Companies2016,Companies2017,Companies2018,Companies2019,Companies2020,Latitude,Longitude
Fort McPherson,30310.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.706771,-84.43503738
Fort Mill,31905.0,West,"Columbus, GA-AL",Chattahoochee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3523691,-84.9688191
Fort Oglethorpe,30742.0,Northwest,"Chattanooga, TN-GA",Catoosa County,0,2,0,0,0,0,0,0,1,0,0,0,0,0,34.9513555,-85.2415113
Fort Stewart,31314.0,Coastal,"Hinesville, GA",Liberty County,0,0,0,0,3,0,0,0,0,0,0,0,1,0,31.869434899999998,-81.6077657
Fort Valley,31030.0,West,"Warner Robins, GA",Peach County,0,0,0,1,0,0,0,1,0,0,0,0,0,1,32.5537585,-83.8874084
Fortson,30228.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.377891399999996,-84.28881190000001
Franklin,30521.0,Northeast,0,Heard County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34.36786420000001,-83.21565749999999
Gainesville,30501.0,Northeast,"Gainesville, GA",Hall County,2,3,2,1,0,1,2,1,1,0,1,0,2,4,34.2978794,-83.8240663
Garden City,31408.0,Coastal,"Savannah, GA",Chatham County,0,0,1,0,0,0,0,1,0,0,0,0,0,0,32.114371500000004,-81.15400129999999
Glenwood,30428.0,Central,0,Wheeler County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.179900800000006,-82.6695802
Glynco,31520.0,Coastal,"Brunswick, GA",Glynn County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.2224512,-81.5101023
Gordon,30701.0,Northwest,"Calhoun, GA",Gordon County,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.5019651,-84.89863079999999
Grayson,30017.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.8942729,-83.95574
Greensboro,30642.0,Northeast,0,Greene County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.5756831,-83.18237890000002
Greenville,30222.0,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County,0,1,0,0,0,0,0,0,0,0,0,0,0,1,33.0287373,-84.7129848
Griffin,30224.0,West,"Atlanta-Sandy Springs-Alpharetta, GA",Spalding County,1,2,1,0,1,0,3,0,0,0,0,1,0,0,33.246780699999995,-84.26409040000001
Grovetown,30813.0,East,"Augusta-Richmond County, GA-SC",Columbia County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.4504157,-82.19817640000001
Hamilton,31811.0,West,"Columbus, GA-AL",Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.757910700000004,-84.8749311
Hampton,30228.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3870578,-84.2829784
Hapeville,30354.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,1,0,1,0,1,0,0,1,1,0,0,0,0,1,33.660109000000006,-84.4102046
Hartwell,30643.0,Northeast,0,Hart County,1,0,1,0,0,0,0,0,0,0,0,0,1,0,34.3528825,-82.932087
Hawkinsville,31036.0,Central,"Warner Robins, GA",Pulaski County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.2839257,-83.4719948
Helen,30545.0,Northeast,0,White County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.7009043,-83.7294546
Hiawassee,30546.0,Northeast,0,Towns County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.947959000000004,-83.7569922
Hiram,30141.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.875660100000005,-84.7621592
Hogansville,30230.0,West,"LaGrange, GA",Troup County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33.173176899999994,-84.914936
Hunter Army Airfield,31409.0,Coastal,"Savannah, GA",Chatham County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.0093774,-81.15073344
Jackson,30549.0,Northeast,"Jefferson, GA",Jackson County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1282559,-83.5753386
Jefferson,30434.0,East,0,Jefferson County,0,0,0,0,0,0,0,0,0,2,0,0,0,1,33.0380388,-82.436141
Jeffersonville,31044.0,Central,"Macon-Bibb County, GA",Twiggs County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32.6876606,-83.3470598
Jesup,31545.0,Coastal,"Jesup, GA",Wayne County,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31.6074365,-81.88539240000001
Johns Creek,30097.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.0181557,-84.190196
Jonesboro,30236.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,0,0,0,1,0,2,0,0,0,0,0,0,0,0,33.521501300000004,-84.3538128
Kennesaw,30144.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,0,5,4,2,2,1,0,2,3,3,4,3,3,8,34.023433700000005,-84.6154897
Kings Bay,,Coastal,"St. Marys, GA",Camden County,0,0,0,1,2,0,0,1,0,0,0,0,0,2,30.7919027,-81.4970392
Kingsland,31548.0,Coastal,"St. Marys, GA",Camden County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.7999563,-81.68982609999999
Lafayette,30728.0,Northwest,"Chattanooga, TN-GA",Walker County,0,1,0,1,0,0,0,0,0,0,0,0,0,0,34.7048022,-85.2818998
LaGrange,30240.0,West,"LaGrange, GA-AL",Troup County,1,3,0,2,0,0,0,0,0,0,0,0,0,3,33.039291,-85.03132690000001
Lake City,30260.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.6064989,-84.3352017
Lavonia,30553.0,Northeast,0,Franklin County,1,1,0,2,0,0,0,0,0,0,0,0,0,0,34.435682799999995,-83.1072495
Lawrenceville,30046.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,3,0,4,0,2,3,1,4,2,2,3,0,1,2,33.9562149,-83.9879625
Lilburn,30047.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.8901036,-84.1429719
Lithia Springs,30122.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,1,1,3,0,1,1,0,0,2,0,1,0,1,4,33.7939953,-84.66048990000002
Lithonia,30058.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,1,0,0,0,0,0,1,0,0,0,0,2,1,6,33.7123305,-84.1051939
Locust Grove,30248.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,0,0,0,0,0,0,0,0,1,0,0,0,0,1,33.345949499999996,-84.109083
Loganville,30052.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.8389977,-83.90073819999999
Louisville,30434.0,East,0,Jefferson County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.0015407,-82.4112377
Lyerly,30730.0,Northwest,"Summerville, GA",Chattooga County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.4039775,-85.40329109999999
Lyons,30436.0,Central,"Vidalia, GA",Toombs County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2043546,-82.321791
Mableton,30126.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,0,1,0,0,0,0,0,0,0,0,2,0,0,0,33.8188333,-84.5822632
Macon,31201.0,Central,"Macon-Bibb County, GA",Bibb County,1,2,2,1,1,2,0,2,2,2,5,1,1,8,32.8406946,-83.6324022
